No.,Papers,Year,Venues,Link
115,HORA 3D: Personalized Flood Risk Visualization as an Interactive Web Service,2024,EuroVis,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cgf.15110
116,DIVI: Dynamically Interactive Visualization,2023,VIS,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10299539
117,RL-LABEL: A Deep Reinforcement Learning Approach Intended for AR Label Placement in Dynamic Scenarios,2023,VIS,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10290983
118,Soliloquy: Fostering Poetry Comprehension Using an Interactive Think-aloud Visualization,2023,CHI,https://dl.acm.org/doi/pdf/10.1145/3544548.3581374
119,Temporal Merge Tree Maps: A Topology-Based Static Visualization for Temporal Scalar Data,2022,VIS,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9903344
120,Interactive Data Comics,2021,VIS,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9552591
121,Animated Presentation of Static Infographics with InfoMotion,2021,EuroVis,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cgf.14325
122,A Visual Analytics Approach for Ecosystem Dynamics based on Empirical Dynamic Modeling,2020,VAST,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9216532
123,Kyrix-S: Authoring Scalable Scatterplot Visualizations of Big Data,2020,InfoVis,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9222038
124,Knowledge-Assisted Comparative Assessment of Breast Cancer using Dynamic Contrast-Enhanced Magnetic Resonance Imaging,2020,EuroVis,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cgf.13959
125,Augmenting Static Visualizations with PapARVis Designer,2020,CHI,https://dl.acm.org/doi/pdf/10.1145/3313831.3376436
126,Designing Animated Transitions to Convey Aggregate Operations,2019,EuroVis,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cgf.13709
127,GazeDx: Interactive Visual Analytics Framework for Comparative Gaze Analysis with Volumetric Medical Images,2016,VAST,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7539334
128,A Comparative Evaluation on Online Learning Approaches using Parallel Coordinate Visualization,2016,CHI,https://dl.acm.org/doi/pdf/10.1145/2858036.2858101
129,HTMVS: Visualizing hierarchical topics and their evolution,2015,VAST,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7347675
130,Effects of Presentation Mode and Pace Control on Performance in Image Classification,2014,InfoVis,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6875979
131,Evaluating the Impact of User Characteristics and Different Layouts on an Interactive Visualization for Decision Making,2014,EuroVis,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cgf.12393
132,Evaluation of Static and Dynamic Visualization Training Approaches for Users with Different Spatial Abilities,2013,SciVis,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6634097
133,Fingerprint Matrices: Uncovering the dynamics of social networks in prose literature,2013,EuroVis,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cgf.12124
134,Visual Explanation of the Complexity in Julia Sets,2013,EuroVis,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cgf.12130
135,Watch this: A taxonomy for dynamic data visualization,2012,VAST,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6400552
136,Network-based visual analysis of tabular data,2011,VAST,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6102440
137,Asymmetric Relations in Longitudinal Social Networks,2011,InfoVis,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6064994
138,Interactive querying of temporal data using a comic strip metaphor,2010,VAST,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5652890
